Date,open_price,high_price,low_price,close_price,volume
2021-05-31,3150,3170.35,3128.6,3159.15,1651930
2021-05-28,3189.5,3198,3135.65,3143.6,1763701
2021-05-27,3161.95,3217.75,3161.8,3180,5959785
2021-05-26,3120,3165,3103.8,3158.5,1923753
2021-05-25,3092,3128.25,3082.1,3114,1841613
2021-05-24,3081.5,3105,3072,3081.5,1652260
2021-05-21,3061,3088.2,3055.1,3080.5,1685566
2021-05-20,3067.1,3088.8,3052.1,3060,2329027
2021-05-19,3084,3118,3067.1,3082,1986041
2021-05-18,3100,3124,3078,3088.8,2098538
2021-05-17,3055,3075.2,3036,3069.75,2890462
2021-05-14,3098.5,3098.5,3040,3051.5,2043935
2021-05-12,3120,3120,3070.6,3087.6,1978558
2021-05-11,3125,3128.1,3091.15,3122.6,2415625
2021-05-10,3145.95,3164.2,3125,3145.5,2137153
2021-05-07,3133,3159.85,3111.8,3132.9,1912540
2021-05-06,3105.5,3134,3074,3111.45,1791671
2021-05-05,3070,3099.4,3052.4,3095.7,1939289
2021-05-04,3062.8,3090,3035,3049.75,1990777
2021-05-03,3024.9,3055,3004,3037,1545831
2021-04-30,3099,3132.05,3020,3035.65,3072305
2021-04-29,3145.6,3157.35,3105.5,3115.25,1621395
2021-04-28,3149.95,3151,3112,3124.1,1639037
2021-04-27,3106,3136.1,3103,3132,1471417
2021-04-26,3102.05,3153,3088.05,3100.8,2490260
2021-04-23,3105,3119,3091.05,3109.5,1615309
2021-04-22,3148,3148,3105.25,3118.8,1988980
2021-04-20,3225,3225.35,3126.35,3144.55,3141893
2021-04-19,3169,3189,3135.1,3161.8,2679106
2021-04-16,3229,3247,3182.6,3195.15,3224657
2021-04-15,3160.3,3237.25,3087.45,3218.95,6062760
2021-04-13,3214,3214,3073.05,3104.05,8654596
2021-04-12,3322.25,3338.1,3213.2,3246.55,3791828
2021-04-09,3354,3354.35,3308,3322.25,2911129
2021-04-08,3270,3335,3266.05,3317.35,2578118
2021-04-07,3259,3277.55,3234.8,3271.4,2491268
2021-04-06,3275,3275,3230,3264.7,2291562
2021-04-05,3171,3263,3151,3238.9,5317862
2021-04-01,3191.1,3215,3145,3165,4285076
2021-03-31,3155,3205,3132,3177.85,3530069
2021-03-30,3083,3188.45,3060.9,3158.55,4694008
2021-03-26,3090.65,3118,3043.05,3066.8,3697370
2021-03-25,3112.2,3130.85,3050,3064.85,3179786
2021-03-24,3111.2,3152.3,3111.15,3121.1,2207104
2021-03-23,3140,3169,3122.85,3142.6,3305973
2021-03-22,3048.7,3139.45,3018.65,3129.65,2821646
2021-03-19,3030,3099,3005,3050.2,5776626
2021-03-18,3125.95,3146.45,2987.05,3036.5,3656306
2021-03-17,3105,3155,3085.3,3112.95,3838390
2021-03-16,3060,3141,3060,3110.05,4894756
2021-03-15,3041,3099,3041,3066.15,3097083
2021-03-12,3075,3117,3041.35,3057.95,2938317
2021-03-10,3075,3093.2,3060,3070.95,3053778
2021-03-09,3006.95,3066.9,2992.1,3050.95,1942397
2021-03-08,3016,3033,2996,3006.95,2003125
2021-03-05,3016.1,3063.2,2996.6,3008.05,3203686
2021-03-04,3023,3081.45,3016.05,3049.7,3916760
2021-03-03,3035,3064,2996.9,3059.1,3509857
2021-03-02,2960,3025,2948,3006.35,3306469
2021-03-01,2926,2965,2901.8,2924.2,3265871
2021-02-26,2960,2972.35,2880,2894.3,5553153
2021-02-25,2974,3029.9,2968.45,2995.3,4224073
